idpm,latitud,longitud,nombre_via,ih,temperatura,velocidad_viento,precipitacion,humedad,PM25,CO,NO,NO2
4204,39.492848076950182,-0.359785174304228,"Carrer d'Alfauir, 45",505,14.0,4,0.0,68,9.4357,0.2595,32.028800000000004,48.3648
4205,39.488480180623391,-0.367721279567563,"Carrer d'Alfauir, 7",356,14.0,4,0.0,68,8.9291,0.2446,24.727800000000002,41.555499999999995
4206,39.492145848254673,-0.367173090055443,"Carrer del Duc de Mandas, 43",53,14.0,4,0.0,68,7.8989,0.2143,9.880800000000004,27.7084
4207,39.492316419162812,-0.366418553058846,"Carrer de Motilla del Palancar, 33",11,14.0,4,0.0,68,7.7561,0.2101,7.822800000000004,25.789
4208,39.492516340387304,-0.367899079724279,"Carrer del Duc de Mandas, 28",41,14.0,4,0.0,68,7.8581,0.2131,9.292800000000003,27.16
4401,39.498439619890803,-0.382420692870459,"Avinguda dels Germans Machado, 137",1569,14.0,4,0.0,68,13.0533,0.3659,84.1648,96.9896
4402,39.499004295852934,-0.379909322743458,"Avinguda dels Germans Machado, 133",1560,14.0,4,0.0,68,13.022699999999999,0.365,83.7238,96.57830000000001
4406,39.498265924397849,-0.382710740660801,"Avinguda dels Germans Machado, 137",1523,14.0,4,0.0,68,12.8969,0.3613,81.91080000000001,94.88740000000001
4407,39.498346855089729,-0.381410318128996,"CamÃ­ de Montcada, 137",83,14.0,4,0.0,68,8.0009,0.2173,11.350800000000003,29.0794
4416,39.497482614241981,-0.370568810198304,"Avinguda de la ConstituciÃ³, 249",480,14.0,4,0.0,68,9.3507,0.257,30.803800000000003,47.222300000000004
4417,39.497031461644767,-0.367109639994976,"Avinguda dels Germans Machado, 55",171,14.0,4,0.0,68,8.3001,0.2261,15.662800000000002,33.101
4423,39.495920573900875,-0.36237735078941,"Avinguda dels Germans Machado, 13",1259,14.0,4,0.0,68,11.9993,0.33490000000000003,68.9748,82.8226
4424,39.495165092349438,-0.360426817384771,"Avinguda dels Germans Machado, 7",1411,14.0,4,0.0,68,12.5161,0.3501,76.4228,89.769
4425,39.495097915488451,-0.359547863749063,"Avinguda dels Germans Machado, 7",1268,14.0,4,0.0,68,12.0299,0.3358,69.4158,83.2339
4434,39.497633366826314,-0.371600040797937,"Carrer del Comte de Lumiares, 42",355,14.0,4,0.0,68,8.9257,0.2445,24.678800000000003,41.5098
4435,39.492821647426886,-0.356209612813235,"Carrer Vila de l'AlcorÃ , 7",1159,14.0,4,0.0,68,11.6593,0.3249,64.07480000000001,78.2526
4501,39.453644399823517,-0.334753456592007,"Carrer de SuÄ«ssa, 7",4,14.0,4,0.0,68,7.7323,0.2094,7.4798000000000044,25.4691
531,39.460309676487384,-0.378512735393583,"Carrer de les Filipines, 606",501,14.0,4,0.0,68,9.4221,0.2591,31.832800000000002,48.182
532,39.459843629258422,-0.377740280089041,"Carrer de les Filipines, 13-15",399,14.0,4,0.0,68,9.0753,0.2489,26.834800000000005,43.5206
533,39.461151304855683,-0.378662826389438,"Carrer de les Filipines, 3",350,14.0,4,0.0,68,8.9087,0.244,24.433800000000005,41.2813
534,39.461011860664115,-0.378082689348581,"Carrer de Buenos Aires, 39",41,14.0,4,0.0,68,7.8581,0.2131,9.292800000000003,27.16
535,39.460464403286075,-0.374397889634616,"Carrer de Sueca, 48",87,14.0,4,0.0,68,8.0145,0.2177,11.546800000000003,29.2622
