id punto de medida,angulo,ptos_gps,nombre_via,tipo
2045,161,"39.4800400597,-0.345526387448","Avinguda dels Tarongers, 4",0
2046,161,"39.4809770659,-0.348801521718","Avinguda dels Tarongers, 4",0
4112,165,"39.4466008094,-0.384290026978","Camino Rambleta, 1-2",0
4111,345,"39.4459236517,-0.386104903172","Carrer de Sant Vicent MÃ rtir, 343",0
2050,359,"39.4748866867,-0.350336584666","Avinguda de Blasco IbÃ¡Ã±ez, 59",0
2101,167,"39.4662087402,-0.355583578708","Carrer de les Illes CanÃ ries, 38",0
2107,254,"39.4637273614,-0.352092681266","Carrer del Pare TomÃ s de MontaÃ±ana, 22",0
2230,120,"39.4570812096,-0.363457762819","Carrer del General Urrutia, 43-45",0
2232,300,"39.4488503717,-0.37020176607","Avinguda d'AusiÃ s March, 82",0
2233,120,"39.4483673597,-0.369496930794","Avinguda d'AusiÃ s March, 79",0
2233,120,"39.4483673597,-0.369496930794","Avinguda d'AusiÃ s March, 79",0
2234,211,"39.4525381491,-0.365575090656","Avinguda dels Germans Maristes, 17-19",0
2234,211,"39.4525381491,-0.365575090656","Avinguda dels Germans Maristes, 17-19",0
2236,300,"39.4518233999,-0.372302963592","Avinguda d'AusiÃ s March, 54",0
2237,120,"39.4519788238,-0.372197937169","Avinguda d'AusiÃ s March, 43",0
2238,30,"39.4527559526,-0.372362172197","Avinguda de la Plata, 11",0
2239,210,"39.4532216069,-0.371679179668","Avinguda de la Plata, 9",0
2240,30,"39.4532175027,-0.371249942041","Avinguda de la Plata, 6-8",0
2241,210,"39.4536242007,-0.370714868131","Avinguda de la Plata, 13",0
2242,30,"39.4535988617,-0.370320383106","Avinguda de la Plata, 12",0
2243,210,"39.4543712075,-0.368905819624","Avinguda de la Plata, 33",0
2244,30,"39.4542034062,-0.368863891127","Avinguda de la Plata, 12",0
2245,210,"39.4549187833,-0.36755764936","Avinguda de la Plata, 54",0
2246,30,"39.4551881294,-0.366541662561","Avinguda de la Plata, 22",0
2251,167,"39.4558903805,-0.37062867731","Avinguda del Doctor Waksman, 39",0
2252,347,"39.4555061514,-0.369630816839","Avinguda del Doctor Waksman, 50",0
2257,124,"39.4569152638,-0.356104976088","Avinguda del Professor LÃ³pez PiÃ±ero, 50",0
2258,305,"39.4574118126,-0.357182051202","Avinguda del Professor LÃ³pez PiÃ±ero, 50",0
2259,300,"39.4578816215,-0.364264747982","Carrer del General Urrutia, 31",0
2259,300,"39.4578816215,-0.364264747982","Carrer del General Urrutia, 31",0
2307,300,"39.451276142,-0.375088567016","Carrer de l'Enginyer Joaquin Benlloch, 36",0
2308,120,"39.4515551229,-0.375191695776","Carrer de l'Enginyer Joaquin Benlloch, 45",0
2309,300,"39.4523826632,-0.375842755723","Carrer de l'Enginyer Joaquin Benlloch, 28",0
2310,30,"39.4525409207,-0.37567955063","Carrer d'OltÃ , 54",0
2311,120,"39.4529914915,-0.376225975598","Carrer de l'Enginyer Joaquin Benlloch, 35",0
2318,10,"39.4541318229,-0.378111197003","Carrer de la Pianista Empar Iturbi, 62",0
